"FederalElectoralDivison","Participation","X18.19.years","X20.24.years","X25.29.years","X30.34.years","X35.39.years","X40.44.years","X45.49.years","X50.54.years","X55.59.years","X60.64.years","X65.69.years","X70.74.years","X75.79.years","X80.84.years","X85.years.and.over","Total.Females.b.","Total.Persons"
"Lindsay","Eligible participants"," 1,768 "," 5,571 "," 5,843 "," 5,938 "," 5,349 "," 5,170 "," 4,970 "," 4,445 "," 4,609 "," 4,149 "," 3,602 "," 2,605 "," 1,752 "," 1,196 "," 1,173 "," 58,140 "," 114,555 "
"Lindsay","Participation rate (%)"," 77.2 "," 71.9 "," 71.9 "," 70.7 "," 73.5 "," 76.4 "," 78.7 "," 81.4 "," 85.0 "," 87.2 "," 89.3 "," 90.1 "," 88.6 "," 84.7 "," 77.1 "," 78.7 "," 76.5 "
"Lyne","Total participants"," 1,023 "," 2,165 "," 1,971 "," 2,167 "," 2,186 "," 2,820 "," 3,548 "," 3,921 "," 4,964 "," 5,250 "," 5,615 "," 4,985 "," 3,429 "," 2,314 "," 2,193 "," 48,551 "," 93,271 "
"Lyne","Eligible participants"," 1,336 "," 3,053 "," 2,847 "," 2,993 "," 3,101 "," 3,732 "," 4,505 "," 4,750 "," 5,741 "," 5,867 "," 6,138 "," 5,389 "," 3,742 "," 2,602 "," 2,640 "," 58,436 "," 114,697 "
"Lyne","Participation rate (%)"," 76.6 "," 70.9 "," 69.2 "," 72.4 "," 70.5 "," 75.6 "," 78.8 "," 82.5 "," 86.5 "," 89.5 "," 91.5 "," 92.5 "," 91.6 "," 88.9 "," 83.1 "," 83.1 "," 81.3 "
"Macarthur","Total participants"," 1,320 "," 3,898 "," 3,922 "," 4,061 "," 3,687 "," 3,604 "," 3,581 "," 3,676 "," 3,936 "," 3,637 "," 3,151 "," 2,160 "," 1,304 "," 835 "," 664 "," 43,436 "," 83,458 "
"Macarthur","Eligible participants"," 1,755 "," 5,455 "," 5,542 "," 5,814 "," 5,293 "," 4,858 "," 4,614 "," 4,603 "," 4,748 "," 4,252 "," 3,611 "," 2,455 "," 1,505 "," 988 "," 842 "," 56,335 "," 110,729 "
"Macarthur","Participation rate (%)"," 75.2 "," 71.5 "," 70.8 "," 69.8 "," 69.7 "," 74.2 "," 77.6 "," 79.9 "," 82.9 "," 85.5 "," 87.3 "," 88.0 "," 86.6 "," 84.5 "," 78.9 "," 77.1 "," 75.4 "
"Mackellar","Total participants"," 1,349 "," 3,136 "," 2,639 "," 2,910 "," 3,524 "," 4,273 "," 4,711 "," 4,304 "," 4,309 "," 3,870 "," 3,680 "," 3,509 "," 2,397 "," 1,741 "," 2,059 "," 48,411 "," 91,888 "
"Mackellar","Eligible participants"," 1,544 "," 3,758 "," 3,218 "," 3,612 "," 4,286 "," 5,173 "," 5,552 "," 5,009 "," 4,869 "," 4,305 "," 4,019 "," 3,823 "," 2,614 "," 1,955 "," 2,539 "," 56,277 "," 109,388 "
"Mackellar","Participation rate (%)"," 87.4 "," 83.4 "," 82.0 "," 80.6 "," 82.2 "," 82.6 "," 84.9 "," 85.9 "," 88.5 "," 89.9 "," 91.6 "," 91.8 "," 91.7 "," 89.1 "," 81.1 "," 86.0 "," 84.0 "
"Macquarie","Total participants"," 1,302 "," 3,295 "," 2,973 "," 3,036 "," 3,211 "," 3,724 "," 4,326 "," 4,099 "," 4,526 "," 4,147 "," 3,943 "," 3,140 "," 1,944 "," 1,280 "," 1,209 "," 46,155 "," 88,193 "
"Macquarie","Eligible participants"," 1,579 "," 4,098 "," 3,829 "," 3,811 "," 4,025 "," 4,547 "," 5,186 "," 4,757 "," 5,137 "," 4,604 "," 4,310 "," 3,449 "," 2,136 "," 1,448 "," 1,484 "," 54,400 "," 106,683 "
"Macquarie","Participation rate (%)"," 82.5 "," 80.4 "," 77.6 "," 79.7 "," 79.8 "," 81.9 "," 83.4 "," 86.2 "," 88.1 "," 90.1 "," 91.5 "," 91.0 "," 91.0 "," 88.4 "," 81.5 "," 84.8 "," 82.7 "
"McMahon","Total participants"," 1,280 "," 3,741 "," 3,644 "," 3,538 "," 3,594 "," 3,397 "," 3,651 "," 3,814 "," 3,869 "," 3,423 "," 3,036 "," 2,328 "," 1,643 "," 1,105 "," 1,108 "," 43,171 "," 83,355 "
"McMahon","Eligible participants"," 1,622 "," 4,929 "," 4,930 "," 4,941 "," 4,883 "," 4,450 "," 4,641 "," 4,641 "," 4,652 "," 4,033 "," 3,507 "," 2,624 "," 1,906 "," 1,326 "," 1,444 "," 54,529 "," 107,076 "
"McMahon","Participation rate (%)"," 78.9 "," 75.9 "," 73.9 "," 71.6 "," 73.6 "," 76.3 "," 78.7 "," 82.2 "," 83.2 "," 84.9 "," 86.6 "," 88.7 "," 86.2 "," 83.3 "," 76.7 "," 79.2 "," 77.8 "
"Mitchell","Total participants"," 1,409 "," 3,483 "," 2,709 "," 2,950 "," 3,932 "," 4,464 "," 4,700 "," 3,929 "," 3,802 "," 3,410 "," 3,288 "," 2,777 "," 1,679 "," 1,063 "," 994 "," 44,589 "," 85,940 "
"Mitchell","Eligible participants"," 1,733 "," 4,287 "," 3,438 "," 3,914 "," 5,104 "," 5,625 "," 5,740 "," 4,706 "," 4,374 "," 3,861 "," 3,614 "," 3,025 "," 1,820 "," 1,202 "," 1,231 "," 53,674 "," 105,376 "
"Mitchell","Participation rate (%)"," 81.3 "," 81.2 "," 78.8 "," 75.4 "," 77.0 "," 79.4 "," 81.9 "," 83.5 "," 86.9 "," 88.3 "," 91.0 "," 91.8 "," 92.3 "," 88.4 "," 80.7 "," 83.1 "," 81.6 "
"Newcastle","Total participants"," 1,349 "," 4,727 "," 4,569 "," 4,094 "," 3,822 "," 3,794 "," 4,185 "," 4,038 "," 4,274 "," 3,810 "," 3,247 "," 2,680 "," 1,950 "," 1,601 "," 1,847 "," 49,987 "," 95,389 "
"Newcastle","Eligible participants"," 1,630 "," 5,881 "," 5,522 "," 4,988 "," 4,666 "," 4,609 "," 4,863 "," 4,606 "," 4,837 "," 4,213 "," 3,553 "," 2,942 "," 2,130 "," 1,780 "," 2,250 "," 58,470 "," 115,359 "
"Newcastle","Participation rate (%)"," 82.8 "," 80.4 "," 82.7 "," 82.1 "," 81.9 "," 82.3 "," 86.1 "," 87.7 "," 88.4 "," 90.4 "," 91.4 "," 91.1 "," 91.5 "," 89.9 "," 82.1 "," 85.5 "," 82.7 "
"New England","Total participants"," 1,172 "," 2,726 "," 2,569 "," 2,678 "," 2,658 "," 3,041 "," 3,565 "," 3,765 "," 4,470 "," 4,213 "," 4,079 "," 3,564 "," 2,715 "," 1,833 "," 1,799 "," 44,847 "," 85,188 "
"New England","Eligible participants"," 1,604 "," 4,206 "," 3,953 "," 3,950 "," 3,821 "," 4,105 "," 4,651 "," 4,675 "," 5,291 "," 4,796 "," 4,501 "," 3,916 "," 3,017 "," 2,108 "," 2,217 "," 56,811 "," 110,769 "
"New England","Participation rate (%)"," 73.1 "," 64.8 "," 65.0 "," 67.8 "," 69.6 "," 74.1 "," 76.7 "," 80.5 "," 84.5 "," 87.8 "," 90.6 "," 91.0 "," 90.0 "," 87.0 "," 81.1 "," 78.9 "," 76.9 "
"North Sydney","Total participants"," 1,019 "," 2,973 "," 3,817 "," 4,394 "," 4,607 "," 4,396 "," 4,389 "," 3,919 "," 3,790 "," 3,555 "," 3,335 "," 2,747 "," 1,895 "," 1,296 "," 1,710 "," 47,842 "," 90,479 "
"North Sydney","Eligible participants"," 1,144 "," 3,477 "," 4,589 "," 5,412 "," 5,663 "," 5,335 "," 5,143 "," 4,549 "," 4,300 "," 3,973 "," 3,690 "," 3,030 "," 2,088 "," 1,488 "," 2,102 "," 55,983 "," 108,017 "
"North Sydney","Participation rate (%)"," 89.1 "," 85.5 "," 83.2 "," 81.2 "," 81.4 "," 82.4 "," 85.3 "," 86.2 "," 88.1 "," 89.5 "," 90.4 "," 90.7 "," 90.8 "," 87.1 "," 81.4 "," 85.5 "," 83.8 "
