"FederalElectoralDivison","Participation","X18.19.years","X20.24.years","X25.29.years","X30.34.years","X35.39.years","X40.44.years","X45.49.years","X50.54.years","X55.59.years","X60.64.years","X65.69.years","X70.74.years","X75.79.years","X80.84.years","X85.years.and.over","Total.Females.b.","Total.Persons"
"Paterson","Eligible participants"," 1,696 "," 4,613 "," 4,833 "," 4,707 "," 4,495 "," 4,652 "," 4,912 "," 4,694 "," 5,092 "," 4,892 "," 4,808 "," 4,035 "," 2,667 "," 1,896 "," 1,887 "," 59,879 "," 117,517 "
"Paterson","Participation rate (%)"," 79.7 "," 73.1 "," 71.9 "," 73.3 "," 73.7 "," 76.7 "," 80.5 "," 83.0 "," 86.4 "," 88.6 "," 91.5 "," 92.2 "," 90.1 "," 88.7 "," 81.5 "," 81.6 "," 79.4 "
"Reid","Total participants"," 1,059 "," 3,183 "," 3,347 "," 3,830 "," 3,759 "," 3,757 "," 3,920 "," 3,745 "," 3,696 "," 3,325 "," 2,920 "," 2,344 "," 1,703 "," 1,317 "," 1,525 "," 43,430 "," 82,831 "
"Reid","Eligible participants"," 1,289 "," 4,039 "," 4,461 "," 5,337 "," 5,069 "," 4,857 "," 4,947 "," 4,683 "," 4,512 "," 3,916 "," 3,352 "," 2,637 "," 1,976 "," 1,566 "," 1,928 "," 54,569 "," 106,617 "
"Reid","Participation rate (%)"," 82.2 "," 78.8 "," 75.0 "," 71.8 "," 74.2 "," 77.4 "," 79.2 "," 80.0 "," 81.9 "," 84.9 "," 87.1 "," 88.9 "," 86.2 "," 84.1 "," 79.1 "," 79.6 "," 77.7 "
"Richmond","Total participants"," 1,065 "," 2,354 "," 2,341 "," 2,733 "," 3,083 "," 3,551 "," 4,204 "," 4,163 "," 5,036 "," 5,155 "," 4,750 "," 3,938 "," 2,868 "," 2,219 "," 2,293 "," 49,753 "," 92,490 "
"Richmond","Eligible participants"," 1,319 "," 3,118 "," 3,157 "," 3,641 "," 4,015 "," 4,613 "," 5,200 "," 5,067 "," 5,928 "," 5,848 "," 5,301 "," 4,357 "," 3,189 "," 2,565 "," 2,915 "," 60,233 "," 115,209 "
"Richmond","Participation rate (%)"," 80.7 "," 75.5 "," 74.2 "," 75.1 "," 76.8 "," 77.0 "," 80.8 "," 82.2 "," 85.0 "," 88.1 "," 89.6 "," 90.4 "," 89.9 "," 86.5 "," 78.7 "," 82.6 "," 80.3 "
"Riverina","Total participants"," 1,184 "," 3,009 "," 2,965 "," 2,919 "," 2,827 "," 3,164 "," 3,617 "," 3,691 "," 4,289 "," 4,027 "," 3,963 "," 3,299 "," 2,666 "," 1,907 "," 1,948 "," 45,475 "," 86,906 "
"Riverina","Eligible participants"," 1,620 "," 4,564 "," 4,330 "," 4,086 "," 4,013 "," 4,205 "," 4,596 "," 4,559 "," 5,074 "," 4,598 "," 4,443 "," 3,648 "," 2,961 "," 2,177 "," 2,491 "," 57,365 "," 112,538 "
"Riverina","Participation rate (%)"," 73.1 "," 65.9 "," 68.5 "," 71.4 "," 70.4 "," 75.2 "," 78.7 "," 81.0 "," 84.5 "," 87.6 "," 89.2 "," 90.4 "," 90.0 "," 87.6 "," 78.2 "," 79.3 "," 77.2 "
"Robertson","Total participants"," 1,270 "," 3,039 "," 2,813 "," 2,878 "," 3,064 "," 3,275 "," 3,807 "," 3,977 "," 4,365 "," 4,253 "," 4,122 "," 3,730 "," 2,723 "," 2,048 "," 2,268 "," 47,632 "," 89,534 "
"Robertson","Eligible participants"," 1,534 "," 3,928 "," 3,653 "," 3,672 "," 3,909 "," 4,199 "," 4,713 "," 4,700 "," 5,070 "," 4,777 "," 4,567 "," 4,071 "," 3,007 "," 2,342 "," 2,801 "," 56,943 "," 109,965 "
"Robertson","Participation rate (%)"," 82.8 "," 77.4 "," 77.0 "," 78.4 "," 78.4 "," 78.0 "," 80.8 "," 84.6 "," 86.1 "," 89.0 "," 90.3 "," 91.6 "," 90.6 "," 87.4 "," 81.0 "," 83.6 "," 81.4 "
"Shortland","Total participants"," 1,287 "," 3,223 "," 2,963 "," 3,195 "," 3,137 "," 3,344 "," 3,970 "," 3,985 "," 4,369 "," 4,318 "," 4,184 "," 3,958 "," 2,821 "," 2,006 "," 1,926 "," 48,686 "," 92,546 "
"Shortland","Eligible participants"," 1,561 "," 4,099 "," 3,823 "," 4,038 "," 4,027 "," 4,244 "," 4,788 "," 4,665 "," 4,988 "," 4,776 "," 4,613 "," 4,277 "," 3,094 "," 2,249 "," 2,312 "," 57,554 "," 112,221 "
"Shortland","Participation rate (%)"," 82.4 "," 78.6 "," 77.5 "," 79.1 "," 77.9 "," 78.8 "," 82.9 "," 85.4 "," 87.6 "," 90.4 "," 90.7 "," 92.5 "," 91.2 "," 89.2 "," 83.3 "," 84.6 "," 82.5 "
"Sydney","Total participants"," 696 "," 3,440 "," 6,405 "," 6,485 "," 4,908 "," 3,629 "," 3,285 "," 2,781 "," 2,746 "," 2,479 "," 2,086 "," 1,539 "," 959 "," 660 "," 607 "," 42,705 "," 91,150 "
"Sydney","Eligible participants"," 840 "," 4,172 "," 7,693 "," 8,046 "," 6,237 "," 4,532 "," 3,993 "," 3,350 "," 3,255 "," 2,950 "," 2,421 "," 1,771 "," 1,178 "," 871 "," 877 "," 52,186 "," 113,243 "
"Sydney","Participation rate (%)"," 82.9 "," 82.5 "," 83.3 "," 80.6 "," 78.7 "," 80.1 "," 82.3 "," 83.0 "," 84.4 "," 84.0 "," 86.2 "," 86.9 "," 81.4 "," 75.8 "," 69.2 "," 81.8 "," 80.5 "
"Warringah","Total participants"," 1,209 "," 2,901 "," 3,018 "," 3,643 "," 4,114 "," 4,480 "," 4,701 "," 4,215 "," 3,762 "," 3,187 "," 3,126 "," 2,739 "," 1,951 "," 1,294 "," 1,638 "," 45,978 "," 86,831 "
"Warringah","Eligible participants"," 1,361 "," 3,380 "," 3,628 "," 4,392 "," 5,027 "," 5,407 "," 5,519 "," 4,871 "," 4,268 "," 3,603 "," 3,451 "," 3,003 "," 2,148 "," 1,459 "," 2,056 "," 53,573 "," 103,461 "
"Warringah","Participation rate (%)"," 88.8 "," 85.8 "," 83.2 "," 82.9 "," 81.8 "," 82.9 "," 85.2 "," 86.5 "," 88.1 "," 88.5 "," 90.6 "," 91.2 "," 90.8 "," 88.7 "," 79.7 "," 85.8 "," 83.9 "
"Watson","Total participants"," 1,231 "," 3,538 "," 3,359 "," 3,631 "," 3,564 "," 3,544 "," 3,788 "," 3,670 "," 3,558 "," 3,152 "," 2,711 "," 2,141 "," 1,722 "," 1,335 "," 1,398 "," 42,342 "," 82,280 "
"Watson","Eligible participants"," 1,533 "," 4,559 "," 4,510 "," 4,920 "," 4,798 "," 4,651 "," 4,857 "," 4,625 "," 4,376 "," 3,837 "," 3,177 "," 2,486 "," 2,048 "," 1,674 "," 1,885 "," 53,936 "," 106,914 "
"Watson","Participation rate (%)"," 80.3 "," 77.6 "," 74.5 "," 73.8 "," 74.3 "," 76.2 "," 78.0 "," 79.4 "," 81.3 "," 82.1 "," 85.3 "," 86.1 "," 84.1 "," 79.7 "," 74.2 "," 78.5 "," 77.0 "
"Wentworth","Total participants"," 882 "," 2,852 "," 4,356 "," 4,964 "," 4,593 "," 4,088 "," 4,022 "," 3,358 "," 3,286 "," 2,964 "," 2,899 "," 2,459 "," 1,734 "," 1,223 "," 1,604 "," 45,284 "," 85,851 "
"Wentworth","Eligible participants"," 1,012 "," 3,277 "," 5,212 "," 6,099 "," 5,707 "," 5,052 "," 4,773 "," 3,911 "," 3,738 "," 3,347 "," 3,276 "," 2,786 "," 1,976 "," 1,435 "," 2,104 "," 53,705 "," 103,972 "
"Wentworth","Participation rate (%)"," 87.2 "," 87.0 "," 83.6 "," 81.4 "," 80.5 "," 80.9 "," 84.3 "," 85.9 "," 87.9 "," 88.6 "," 88.5 "," 88.3 "," 87.8 "," 85.2 "," 76.2 "," 84.3 "," 82.6 "
"Werriwa","Total participants"," 1,419 "," 4,100 "," 3,656 "," 3,833 "," 3,858 "," 3,982 "," 4,157 "," 4,067 "," 3,856 "," 3,161 "," 2,503 "," 1,723 "," 1,332 "," 829 "," 735 "," 43,211 "," 83,695 "
"Werriwa","Eligible participants"," 1,917 "," 5,662 "," 5,242 "," 5,522 "," 5,509 "," 5,546 "," 5,535 "," 5,214 "," 4,866 "," 3,929 "," 2,978 "," 2,075 "," 1,608 "," 1,023 "," 1,002 "," 57,628 "," 112,977 "
"Werriwa","Participation rate (%)"," 74.0 "," 72.4 "," 69.7 "," 69.4 "," 70.0 "," 71.8 "," 75.1 "," 78.0 "," 79.2 "," 80.5 "," 84.0 "," 83.0 "," 82.8 "," 81.0 "," 73.4 "," 75.0 "," 74.1 "
"Whitlam","Total participants"," 1,389 "," 3,337 "," 3,123 "," 3,217 "," 3,180 "," 3,563 "," 3,972 "," 4,041 "," 4,415 "," 4,230 "," 4,127 "," 3,762 "," 2,808 "," 1,860 "," 1,678 "," 48,702 "," 92,717 "
"Whitlam","Eligible participants"," 1,751 "," 4,483 "," 4,226 "," 4,299 "," 4,266 "," 4,587 "," 4,914 "," 4,910 "," 5,139 "," 4,776 "," 4,612 "," 4,139 "," 3,126 "," 2,168 "," 2,095 "," 59,491 "," 115,781 "
"Whitlam","Participation rate (%)"," 79.3 "," 74.4 "," 73.9 "," 74.8 "," 74.5 "," 77.7 "," 80.8 "," 82.3 "," 85.9 "," 88.6 "," 89.5 "," 90.9 "," 89.8 "," 85.8 "," 80.1 "," 81.9 "," 80.1 "
"New South Wales (Total)","Total participants"," 57,345 "," 153,549 "," 153,718 "," 160,855 "," 162,711 "," 171,415 "," 187,089 "," 181,995 "," 192,455 "," 179,082 "," 166,004 "," 138,350 "," 98,810 "," 70,583 "," 74,012 "," 2,147,973 "," 4,122,236 "
"New South Wales (Total)","Eligible participants"," 71,646 "," 201,716 "," 204,377 "," 215,120 "," 216,203 "," 220,718 "," 232,767 "," 220,482 "," 226,306 "," 205,641 "," 186,263 "," 153,681 "," 111,061 "," 81,879 "," 93,521 "," 2,641,383 "," 5,187,681 "
"New South Wales (Total)","Participation rate (%)"," 80.0 "," 76.1 "," 75.2 "," 74.8 "," 75.3 "," 77.7 "," 80.4 "," 82.5 "," 85.0 "," 87.1 "," 89.1 "," 90.0 "," 89.0 "," 86.2 "," 79.1 "," 81.3 "," 79.5 "
"Aston","Total participants"," 1,204 "," 3,590 "," 3,156 "," 2,874 "," 3,038 "," 3,152 "," 3,769 "," 3,807 "," 3,888 "," 3,540 "," 3,077 "," 2,269 "," 1,679 "," 1,080 "," 1,022 "," 41,145 "," 78,419 "
"Aston","Eligible participants"," 1,395 "," 4,396 "," 3,921 "," 3,593 "," 3,809 "," 3,910 "," 4,513 "," 4,447 "," 4,523 "," 4,016 "," 3,454 "," 2,567 "," 1,919 "," 1,279 "," 1,328 "," 49,070 "," 96,083 "
"Aston","Participation rate (%)"," 86.3 "," 81.7 "," 80.5 "," 80.0 "," 79.8 "," 80.6 "," 83.5 "," 85.6 "," 86.0 "," 88.1 "," 89.1 "," 88.4 "," 87.5 "," 84.4 "," 77.0 "," 83.8 "," 81.6 "
"Ballarat","Total participants"," 1,309 "," 3,575 "," 3,436 "," 3,458 "," 3,584 "," 3,866 "," 4,382 "," 4,250 "," 4,546 "," 4,283 "," 4,161 "," 3,258 "," 2,180 "," 1,587 "," 1,521 "," 49,396 "," 93,351 "
"Ballarat","Eligible participants"," 1,565 "," 4,668 "," 4,466 "," 4,412 "," 4,512 "," 4,741 "," 5,247 "," 4,952 "," 5,199 "," 4,823 "," 4,588 "," 3,603 "," 2,405 "," 1,807 "," 1,969 "," 58,957 "," 114,274 "
"Ballarat","Participation rate (%)"," 83.6 "," 76.6 "," 76.9 "," 78.4 "," 79.4 "," 81.5 "," 83.5 "," 85.8 "," 87.4 "," 88.8 "," 90.7 "," 90.4 "," 90.6 "," 87.8 "," 77.2 "," 83.8 "," 81.7 "
"Batman","Total participants"," 977 "," 3,876 "," 4,988 "," 5,169 "," 4,972 "," 4,613 "," 4,749 "," 3,987 "," 3,627 "," 3,114 "," 2,634 "," 2,249 "," 1,823 "," 1,525 "," 1,528 "," 49,831 "," 93,576 "
"Batman","Eligible participants"," 1,131 "," 4,532 "," 5,813 "," 6,010 "," 5,782 "," 5,360 "," 5,519 "," 4,614 "," 4,115 "," 3,510 "," 2,964 "," 2,571 "," 2,133 "," 1,851 "," 2,055 "," 57,960 "," 111,477 "
"Batman","Participation rate (%)"," 86.4 "," 85.5 "," 85.8 "," 86.0 "," 86.0 "," 86.1 "," 86.0 "," 86.4 "," 88.1 "," 88.7 "," 88.9 "," 87.5 "," 85.5 "," 82.4 "," 74.4 "," 86.0 "," 83.9 "
"Bendigo","Total participants"," 1,256 "," 3,370 "," 3,271 "," 3,306 "," 3,339 "," 3,710 "," 4,119 "," 4,139 "," 4,587 "," 4,480 "," 4,278 "," 3,371 "," 2,414 "," 1,645 "," 1,606 "," 48,891 "," 92,597 "
"Bendigo","Eligible participants"," 1,505 "," 4,368 "," 4,188 "," 4,164 "," 4,118 "," 4,542 "," 4,835 "," 4,817 "," 5,206 "," 4,992 "," 4,663 "," 3,674 "," 2,646 "," 1,870 "," 2,051 "," 57,639 "," 111,957 "
"Bendigo","Participation rate (%)"," 83.5 "," 77.2 "," 78.1 "," 79.4 "," 81.1 "," 81.7 "," 85.2 "," 85.9 "," 88.1 "," 89.7 "," 91.7 "," 91.8 "," 91.2 "," 88.0 "," 78.3 "," 84.8 "," 82.7 "
"Bruce","Total participants"," 922 "," 2,719 "," 2,412 "," 2,320 "," 2,461 "," 2,743 "," 3,182 "," 3,190 "," 3,321 "," 3,168 "," 3,252 "," 2,888 "," 2,328 "," 1,567 "," 1,497 "," 37,970 "," 74,104 "
"Bruce","Eligible participants"," 1,163 "," 3,582 "," 3,287 "," 3,301 "," 3,383 "," 3,651 "," 4,085 "," 3,962 "," 4,018 "," 3,754 "," 3,756 "," 3,292 "," 2,664 "," 1,880 "," 1,929 "," 47,707 "," 95,365 "
"Bruce","Participation rate (%)"," 79.3 "," 75.9 "," 73.4 "," 70.3 "," 72.7 "," 75.1 "," 77.9 "," 80.5 "," 82.7 "," 84.4 "," 86.6 "," 87.7 "," 87.4 "," 83.4 "," 77.6 "," 79.6 "," 77.7 "
"Calwell","Total participants"," 1,390 "," 4,300 "," 3,713 "," 3,546 "," 3,445 "," 3,609 "," 4,403 "," 4,544 "," 4,278 "," 3,536 "," 3,055 "," 2,276 "," 1,442 "," 960 "," 717 "," 45,214 "," 87,993 "
"Calwell","Eligible participants"," 1,708 "," 5,441 "," 4,933 "," 4,774 "," 4,578 "," 4,627 "," 5,505 "," 5,513 "," 5,038 "," 4,120 "," 3,575 "," 2,623 "," 1,730 "," 1,175 "," 986 "," 56,326 "," 111,581 "
"Calwell","Participation rate (%)"," 81.4 "," 79.0 "," 75.3 "," 74.3 "," 75.3 "," 78.0 "," 80.0 "," 82.4 "," 84.9 "," 85.8 "," 85.5 "," 86.8 "," 83.4 "," 81.7 "," 72.7 "," 80.3 "," 78.9 "
"Casey","Total participants"," 1,259 "," 3,444 "," 3,668 "," 3,770 "," 3,509 "," 3,688 "," 4,249 "," 4,147 "," 4,131 "," 3,862 "," 3,656 "," 2,904 "," 1,783 "," 1,138 "," 1,098 "," 46,306 "," 88,419 "
"Casey","Eligible participants"," 1,437 "," 4,195 "," 4,388 "," 4,576 "," 4,196 "," 4,390 "," 4,969 "," 4,725 "," 4,690 "," 4,311 "," 3,994 "," 3,183 "," 1,990 "," 1,309 "," 1,372 "," 53,725 "," 105,226 "
"Casey","Participation rate (%)"," 87.6 "," 82.1 "," 83.6 "," 82.4 "," 83.6 "," 84.0 "," 85.5 "," 87.8 "," 88.1 "," 89.6 "," 91.5 "," 91.2 "," 89.6 "," 86.9 "," 80.0 "," 86.2 "," 84.0 "
"Chisholm","Total participants"," 1,263 "," 3,536 "," 2,793 "," 2,583 "," 2,915 "," 3,191 "," 4,062 "," 3,553 "," 3,527 "," 3,087 "," 2,845 "," 2,615 "," 2,441 "," 1,986 "," 2,142 "," 42,539 "," 80,563 "
"Chisholm","Eligible participants"," 1,472 "," 4,265 "," 3,448 "," 3,394 "," 3,713 "," 3,898 "," 4,793 "," 4,186 "," 4,032 "," 3,509 "," 3,172 "," 2,930 "," 2,751 "," 2,304 "," 2,666 "," 50,533 "," 97,751 "
"Chisholm","Participation rate (%)"," 85.8 "," 82.9 "," 81.0 "," 76.1 "," 78.5 "," 81.9 "," 84.7 "," 84.9 "," 87.5 "," 88.0 "," 89.7 "," 89.2 "," 88.7 "," 86.2 "," 80.3 "," 84.2 "," 82.4 "
"Corangamite","Total participants"," 1,304 "," 3,516 "," 3,371 "," 3,831 "," 3,909 "," 4,142 "," 4,479 "," 4,203 "," 4,529 "," 4,558 "," 4,348 "," 3,357 "," 2,323 "," 1,623 "," 1,863 "," 51,356 "," 97,757 "
"Corangamite","Eligible participants"," 1,482 "," 4,247 "," 4,044 "," 4,540 "," 4,655 "," 4,929 "," 5,173 "," 4,708 "," 5,100 "," 5,031 "," 4,743 "," 3,687 "," 2,560 "," 1,866 "," 2,287 "," 59,052 "," 114,880 "
"Corangamite","Participation rate (%)"," 88.0 "," 82.8 "," 83.4 "," 84.4 "," 84.0 "," 84.0 "," 86.6 "," 89.3 "," 88.8 "," 90.6 "," 91.7 "," 91.0 "," 90.7 "," 87.0 "," 81.5 "," 87.0 "," 85.1 "
"Corio","Total participants"," 1,222 "," 3,744 "," 3,753 "," 3,628 "," 3,351 "," 3,691 "," 4,019 "," 4,154 "," 4,373 "," 4,293 "," 4,130 "," 3,337 "," 2,404 "," 1,685 "," 1,641 "," 49,425 "," 92,882 "
"Corio","Eligible participants"," 1,406 "," 4,646 "," 4,679 "," 4,409 "," 4,085 "," 4,427 "," 4,680 "," 4,777 "," 4,960 "," 4,768 "," 4,502 "," 3,702 "," 2,701 "," 1,971 "," 2,089 "," 57,802 "," 111,137 "
"Corio","Participation rate (%)"," 86.9 "," 80.6 "," 80.2 "," 82.3 "," 82.0 "," 83.4 "," 85.9 "," 87.0 "," 88.2 "," 90.0 "," 91.7 "," 90.1 "," 89.0 "," 85.5 "," 78.6 "," 85.5 "," 83.6 "
"Deakin","Total participants"," 1,151 "," 3,075 "," 2,899 "," 3,308 "," 3,581 "," 3,854 "," 4,149 "," 3,694 "," 3,525 "," 3,272 "," 3,251 "," 3,077 "," 2,339 "," 1,786 "," 1,903 "," 44,864 "," 84,713 "
"Deakin","Eligible participants"," 1,325 "," 3,665 "," 3,513 "," 3,998 "," 4,287 "," 4,547 "," 4,794 "," 4,195 "," 3,988 "," 3,635 "," 3,580 "," 3,372 "," 2,574 "," 2,024 "," 2,383 "," 51,880 "," 100,102 "
"Deakin","Participation rate (%)"," 86.9 "," 83.9 "," 82.5 "," 82.7 "," 83.5 "," 84.8 "," 86.5 "," 88.1 "," 88.4 "," 90.0 "," 90.8 "," 91.3 "," 90.9 "," 88.2 "," 79.9 "," 86.5 "," 84.6 "
"Dunkley","Total participants"," 1,104 "," 3,300 "," 3,161 "," 3,371 "," 3,349 "," 3,667 "," 4,037 "," 3,850 "," 4,058 "," 3,794 "," 3,881 "," 3,418 "," 2,414 "," 1,733 "," 1,620 "," 46,757 "," 87,596 "
"Dunkley","Eligible participants"," 1,335 "," 4,169 "," 3,994 "," 4,222 "," 4,149 "," 4,461 "," 4,905 "," 4,503 "," 4,689 "," 4,310 "," 4,293 "," 3,796 "," 2,734 "," 1,989 "," 2,097 "," 55,646 "," 106,918 "
"Dunkley","Participation rate (%)"," 82.7 "," 79.2 "," 79.1 "," 79.8 "," 80.7 "," 82.2 "," 82.3 "," 85.5 "," 86.5 "," 88.0 "," 90.4 "," 90.0 "," 88.3 "," 87.1 "," 77.3 "," 84.0 "," 81.9 "
"Flinders","Total participants"," 1,138 "," 2,961 "," 3,048 "," 3,123 "," 3,212 "," 3,607 "," 4,350 "," 4,201 "," 4,756 "," 4,907 "," 5,023 "," 4,509 "," 3,011 "," 1,901 "," 1,918 "," 51,665 "," 97,902 "
"Flinders","Eligible participants"," 1,347 "," 3,757 "," 3,888 "," 3,991 "," 4,004 "," 4,464 "," 5,249 "," 4,961 "," 5,466 "," 5,555 "," 5,597 "," 5,018 "," 3,382 "," 2,201 "," 2,481 "," 61,361 "," 119,309 "
"Flinders","Participation rate (%)"," 84.5 "," 78.8 "," 78.4 "," 78.3 "," 80.2 "," 80.8 "," 82.9 "," 84.7 "," 87.0 "," 88.3 "," 89.7 "," 89.9 "," 89.0 "," 86.4 "," 77.3 "," 84.2 "," 82.1 "
"Gellibrand","Total participants"," 995 "," 3,246 "," 4,061 "," 4,615 "," 4,760 "," 4,534 "," 4,462 "," 3,958 "," 3,759 "," 3,186 "," 2,740 "," 2,285 "," 1,831 "," 1,386 "," 1,476 "," 47,294 "," 91,388 "
"Gellibrand","Eligible participants"," 1,130 "," 3,940 "," 4,911 "," 5,548 "," 5,633 "," 5,423 "," 5,289 "," 4,667 "," 4,358 "," 3,678 "," 3,159 "," 2,592 "," 2,153 "," 1,716 "," 1,974 "," 56,171 "," 111,159 "
"Gellibrand","Participation rate (%)"," 88.1 "," 82.4 "," 82.7 "," 83.2 "," 84.5 "," 83.6 "," 84.4 "," 84.8 "," 86.3 "," 86.6 "," 86.7 "," 88.2 "," 85.0 "," 80.8 "," 74.8 "," 84.2 "," 82.2 "
"Gippsland","Total participants"," 919 "," 2,585 "," 2,697 "," 2,811 "," 2,651 "," 2,903 "," 3,377 "," 3,757 "," 4,481 "," 4,651 "," 4,418 "," 3,623 "," 2,504 "," 1,600 "," 1,547 "," 44,524 "," 85,444 "
"Gippsland","Eligible participants"," 1,180 "," 3,610 "," 3,734 "," 3,724 "," 3,507 "," 3,652 "," 4,210 "," 4,486 "," 5,175 "," 5,230 "," 4,828 "," 3,983 "," 2,783 "," 1,850 "," 1,936 "," 53,888 "," 105,814 "
"Gippsland","Participation rate (%)"," 77.9 "," 71.6 "," 72.2 "," 75.5 "," 75.6 "," 79.5 "," 80.2 "," 83.7 "," 86.6 "," 88.9 "," 91.5 "," 91.0 "," 90.0 "," 86.5 "," 79.9 "," 82.6 "," 80.7 "
"Goldstein","Total participants"," 1,369 "," 3,459 "," 2,793 "," 2,781 "," 3,160 "," 4,192 "," 5,078 "," 4,730 "," 4,478 "," 3,926 "," 3,662 "," 3,015 "," 2,080 "," 1,566 "," 2,441 "," 48,730 "," 91,627 "
"Goldstein","Eligible participants"," 1,493 "," 3,892 "," 3,246 "," 3,349 "," 3,790 "," 4,898 "," 5,872 "," 5,290 "," 4,995 "," 4,320 "," 4,038 "," 3,343 "," 2,335 "," 1,814 "," 3,057 "," 55,732 "," 106,484 "
"Goldstein","Participation rate (%)"," 91.7 "," 88.9 "," 86.0 "," 83.0 "," 83.4 "," 85.6 "," 86.5 "," 89.4 "," 89.6 "," 90.9 "," 90.7 "," 90.2 "," 89.1 "," 86.3 "," 79.8 "," 87.4 "," 86.0 "
"Gorton","Total participants"," 1,421 "," 3,990 "," 4,151 "," 4,941 "," 5,220 "," 5,194 "," 4,920 "," 4,013 "," 3,869 "," 3,646 "," 3,068 "," 1,982 "," 1,067 "," 660 "," 534 "," 48,676 "," 93,768 "
"Gorton","Eligible participants"," 1,728 "," 5,291 "," 5,641 "," 6,649 "," 6,945 "," 6,606 "," 6,139 "," 4,947 "," 4,657 "," 4,310 "," 3,579 "," 2,289 "," 1,257 "," 829 "," 713 "," 61,580 "," 121,247 "
"Gorton","Participation rate (%)"," 82.2 "," 75.4 "," 73.6 "," 74.3 "," 75.2 "," 78.6 "," 80.1 "," 81.1 "," 83.1 "," 84.6 "," 85.7 "," 86.6 "," 84.9 "," 79.6 "," 74.9 "," 79.0 "," 77.3 "
"Higgins","Total participants"," 1,121 "," 3,973 "," 5,006 "," 4,510 "," 3,799 "," 3,602 "," 4,082 "," 3,760 "," 3,617 "," 3,198 "," 3,038 "," 2,634 "," 1,929 "," 1,407 "," 1,585 "," 47,261 "," 89,614 "
"Higgins","Eligible participants"," 1,253 "," 4,614 "," 5,888 "," 5,461 "," 4,601 "," 4,259 "," 4,767 "," 4,281 "," 4,108 "," 3,590 "," 3,410 "," 2,920 "," 2,200 "," 1,678 "," 2,015 "," 55,045 "," 106,229 "
"Higgins","Participation rate (%)"," 89.5 "," 86.1 "," 85.0 "," 82.6 "," 82.6 "," 84.6 "," 85.6 "," 87.8 "," 88.0 "," 89.1 "," 89.1 "," 90.2 "," 87.7 "," 83.8 "," 78.7 "," 85.9 "," 84.4 "
"Holt","Total participants"," 1,391 "," 4,086 "," 4,141 "," 4,844 "," 4,631 "," 4,238 "," 4,505 "," 4,266 "," 4,152 "," 3,475 "," 2,887 "," 2,039 "," 1,355 "," 922 "," 824 "," 47,756 "," 93,311 "
"Holt","Eligible participants"," 1,748 "," 5,589 "," 5,713 "," 6,700 "," 6,290 "," 5,454 "," 5,646 "," 5,161 "," 5,002 "," 4,085 "," 3,346 "," 2,319 "," 1,600 "," 1,138 "," 1,083 "," 60,874 "," 121,571 "
"Holt","Participation rate (%)"," 79.6 "," 73.1 "," 72.5 "," 72.3 "," 73.6 "," 77.7 "," 79.8 "," 82.7 "," 83.0 "," 85.1 "," 86.3 "," 87.9 "," 84.7 "," 81.0 "," 76.1 "," 78.5 "," 76.8 "
"Hotham","Total participants"," 1,055 "," 2,928 "," 2,614 "," 2,930 "," 3,388 "," 3,613 "," 4,200 "," 3,598 "," 3,559 "," 3,214 "," 3,110 "," 2,627 "," 2,031 "," 1,645 "," 1,810 "," 42,322 "," 80,813 "
"Hotham","Eligible participants"," 1,231 "," 3,597 "," 3,330 "," 3,789 "," 4,301 "," 4,510 "," 5,086 "," 4,329 "," 4,202 "," 3,783 "," 3,569 "," 3,000 "," 2,336 "," 1,992 "," 2,358 "," 51,413 "," 100,545 "
"Hotham","Participation rate (%)"," 85.7 "," 81.4 "," 78.5 "," 77.3 "," 78.8 "," 80.1 "," 82.6 "," 83.1 "," 84.7 "," 85.0 "," 87.1 "," 87.6 "," 86.9 "," 82.6 "," 76.8 "," 82.3 "," 80.4 "
"Indi","Total participants"," 1,023 "," 2,656 "," 2,521 "," 2,788 "," 2,873 "," 3,220 "," 3,830 "," 3,942 "," 4,625 "," 4,612 "," 4,157 "," 3,435 "," 2,388 "," 1,580 "," 1,638 "," 45,288 "," 86,812 "
"Indi","Eligible participants"," 1,228 "," 3,473 "," 3,375 "," 3,580 "," 3,658 "," 3,984 "," 4,642 "," 4,620 "," 5,277 "," 5,161 "," 4,583 "," 3,787 "," 2,651 "," 1,823 "," 2,032 "," 53,874 "," 105,746 "
"Indi","Participation rate (%)"," 83.3 "," 76.5 "," 74.7 "," 77.9 "," 78.5 "," 80.8 "," 82.5 "," 85.3 "," 87.6 "," 89.4 "," 90.7 "," 90.7 "," 90.1 "," 86.7 "," 80.6 "," 84.1 "," 82.1 "
"Isaacs","Total participants"," 1,157 "," 3,344 "," 3,248 "," 3,733 "," 3,921 "," 4,142 "," 4,576 "," 4,006 "," 3,810 "," 3,526 "," 3,169 "," 2,646 "," 1,838 "," 1,293 "," 1,406 "," 45,815 "," 86,983 "
"Isaacs","Eligible participants"," 1,386 "," 4,157 "," 4,137 "," 4,777 "," 4,933 "," 5,112 "," 5,496 "," 4,766 "," 4,419 "," 4,063 "," 3,615 "," 2,994 "," 2,112 "," 1,549 "," 1,801 "," 55,317 "," 107,675 "
"Isaacs","Participation rate (%)"," 83.5 "," 80.4 "," 78.5 "," 78.1 "," 79.5 "," 81.0 "," 83.3 "," 84.1 "," 86.2 "," 86.8 "," 87.7 "," 88.4 "," 87.0 "," 83.5 "," 78.1 "," 82.8 "," 80.8 "
